name	bin	species	ThumbnailURL	category	geography	in_uksi	placement_type	placement_quality	epa_lwr_score	parent_bootstrap	bags_grade	bin_quality_issue	n_bins_for_species	all_bins_for_species	needs_attention	tolid	assembly_status	genome_status	dataset	processid	UKSI_name_match	taxon_version_key	Bioscan specimen count	Specimen ID	family	geography_broad	species_in_GOAT	GBIF	GOAT	NBN	TOLQC	BLAST	BOLD_BIN	BOLD_Specimen	BOLD_BIOSCAN	Node support / Placement
Porcellionides_pruinosus|BOLDAEI1978|LPRCR037-21	BOLD:AEI1978	Porcellionides pruinosus	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-east.25_120.5ff93ad7-8210-4ff0-858c-0f52b280b95c.jpg	UKSI_no_specimens	France	True	reference_tree			0.98	E	shares_BIN_with_other_species	7	BOLD:AAB0922; BOLD:AAH4110; BOLD:AAL0707; BOLD:ACH2448; BOLD:AEI1978; BOLD:AEI1979; BOLD:AGK4898	False				Reference	LPRCR037-21		NBNSYS0000008583	0		Porcellionidae	Western Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Porcellionides%20pruinosus)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Porcellionides%20pruinosus%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Porcellionides%20pruinosus)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AEI1978)	[🔬 This specimen](https://portal.boldsystems.org/result?query=LPRCR037-21[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AEI1978[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Porcellionides_pruinosus|BOLDACH2448|GBCMI1710-13	BOLD:ACH2448	Porcellionides pruinosus		UKSI_no_specimens	Italy	True	reference_tree			0.896	E	shares_BIN_with_other_species	7	BOLD:AAB0922; BOLD:AAH4110; BOLD:AAL0707; BOLD:ACH2448; BOLD:AEI1978; BOLD:AEI1979; BOLD:AGK4898	False				Reference	GBCMI1710-13		NBNSYS0000008583	0		Porcellionidae	Southern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Porcellionides%20pruinosus)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Porcellionides%20pruinosus%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Porcellionides%20pruinosus)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACH2448)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBCMI1710-13[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ACH2448[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Porcellionides_pruinosus|BOLDAEI1979|LPRCR005-21	BOLD:AEI1979	Porcellionides pruinosus	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-ord-1.22_256.48c446de-db8d-43e4-93b3-2592e8ced977.jpg	UKSI_no_specimens	France	True	reference_tree			0.896	E	shares_BIN_with_other_species	7	BOLD:AAB0922; BOLD:AAH4110; BOLD:AAL0707; BOLD:ACH2448; BOLD:AEI1978; BOLD:AEI1979; BOLD:AGK4898	False				Reference	LPRCR005-21		NBNSYS0000008583	0		Porcellionidae	Western Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Porcellionides%20pruinosus)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Porcellionides%20pruinosus%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Porcellionides%20pruinosus)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AEI1979)	[🔬 This specimen](https://portal.boldsystems.org/result?query=LPRCR005-21[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AEI1979[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Agabiformius_lentus|BOLDAEG4196|BBIOP2525-24	BOLD:AEG4196	Agabiformius lentus	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-ord-1.20_235.ccabd1b9-d8df-45d9-95e9-9fb0811c80b2.jpg	UKSI_no_specimens	Portugal	True	reference_tree			0.245	B	clean	1	BOLD:AEG4196	False				Reference	BBIOP2525-24		NBNSYS0000008577	0		Porcellionidae	Southern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Agabiformius%20lentus)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Agabiformius%20lentus%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Agabiformius%20lentus)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AEG4196)	[🔬 This specimen](https://portal.boldsystems.org/result?query=BBIOP2525-24[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AEG4196[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Porcellionides_cingendus|BOLDAGH8819|DTNHM10500-24	BOLD:AGH8819	Porcellionides cingendus	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-ord-1.23_242.252ee805-a9f9-4416-b4f6-d49bf03a415e.jpg	UKSI_no_specimens	United Kingdom	True	reference_tree			1.0	C	split_across_3_BINs	3	BOLD:AGH8819; BOLD:AGP5860; BOLD:AGP5861	False				Reference	DTNHM10500-24		NBNSYS0000008582	0		Porcellionidae	British Isles	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Porcellionides%20cingendus)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Porcellionides%20cingendus%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Porcellionides%20cingendus)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AGH8819)	[🔬 This specimen](https://portal.boldsystems.org/result?query=DTNHM10500-24[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AGH8819[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Porcellionides_cingendus|BOLDAGP5860|BBIOP2934-24	BOLD:AGP5860	Porcellionides cingendus	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-ord-1.25_123.482ce723-8a60-467c-a643-5060d10ddbcc.jpg	UKSI_no_specimens	Portugal	True	reference_tree			0.602	C	split_across_3_BINs	3	BOLD:AGH8819; BOLD:AGP5860; BOLD:AGP5861	False				Reference	BBIOP2934-24		NBNSYS0000008582	0		Porcellionidae	Southern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Porcellionides%20cingendus)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Porcellionides%20cingendus%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Porcellionides%20cingendus)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AGP5860)	[🔬 This specimen](https://portal.boldsystems.org/result?query=BBIOP2934-24[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AGP5860[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Porcellionides_cingendus|BOLDAGP5861|BBIOP2932-24	BOLD:AGP5861	Porcellionides cingendus	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-ord-1.25_213.a9f0e064-f76c-48df-8795-435e42c0491d.jpg	UKSI_no_specimens	Portugal	True	reference_tree			0.602	C	split_across_3_BINs	3	BOLD:AGH8819; BOLD:AGP5860; BOLD:AGP5861	False				Reference	BBIOP2932-24		NBNSYS0000008582	0		Porcellionidae	Southern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Porcellionides%20cingendus)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Porcellionides%20cingendus%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Porcellionides%20cingendus)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AGP5861)	[🔬 This specimen](https://portal.boldsystems.org/result?query=BBIOP2932-24[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:AGP5861[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Porcellionides_sexfasciatus|BOLDADK9664|BISCE026-17	BOLD:ADK9664	Porcellionides sexfasciatus	https://caos.boldsystems.org/api/objects/caos-cloud.linode-us-ord-1.22_259.dafcfc27-5e63-4ff5-97f9-d4bd12d53d4a.jpg	UKSI_no_specimens	Spain	True	reference_tree			0.187	B	clean	1	BOLD:ADK9664	False				Reference	BISCE026-17		NHMSYS0021403959	0		Porcellionidae	Southern Europe	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Porcellionides%20sexfasciatus)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Porcellionides%20sexfasciatus%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Porcellionides%20sexfasciatus)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ADK9664)	[🔬 This specimen](https://portal.boldsystems.org/result?query=BISCE026-17[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ADK9664[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Porcellio_dilatatus|BOLDACJ7329|GBMNA16735-19	BOLD:ACJ7329	Porcellio dilatatus		UKSI_no_specimens	Unknown	True	reference_tree			1.0	E	shares_BIN_with_other_species	2	BOLD:ACJ7329; BOLD:ADX0872	False				Reference	GBMNA16735-19		NBNSYS0000008578	0		Porcellionidae	Other	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Porcellio%20dilatatus)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Porcellio%20dilatatus%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Porcellio%20dilatatus)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACJ7329)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBMNA16735-19[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ACJ7329[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
Porcellio_dilatatus|BOLDADX0872|GBCMI4647-19	BOLD:ADX0872	Porcellio dilatatus		UKSI_no_specimens	Unknown	True	reference_tree			1.0	E	shares_BIN_with_other_species	2	BOLD:ACJ7329; BOLD:ADX0872	False				Reference	GBCMI4647-19		NBNSYS0000008578	0		Porcellionidae	Other	True	[🌍 GBIF map](https://www.gbif.org/species/search?q=Porcellio%20dilatatus)	[🐐 GOAT](https://goat.genomehubs.org/search?result=taxon&taxonomy=ncbi&query=tax_name%28Porcellio%20dilatatus%29)	[🇬🇧 NBN Atlas](https://species.nbnatlas.org/species/Porcellio%20dilatatus)			[🔷 BIN](http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ADX0872)	[🔬 This specimen](https://portal.boldsystems.org/result?query=GBCMI4647-19[ids])	[🪰 All BIOSCAN specimens](https://portal.boldsystems.org/result?query=BOLD:ADX0872[bin],%22Wellcome%20Sanger%20Institute%22[inst])	Moderate to Low (0-0.74)
